Sample ID,Variant,TP,FP,FN
M-3,INDELS,256472,21966,538498
M-3,SNVS,3370827,162952,391233
M-3,NO-ALTS,0,0,7035
M-3,RECORDS,3627299,184918,940447
M-3,OTHERS,0,0,3681
R-3,INDELS,289846,19431,557267
R-3,SNVS,3465636,141821,387840
R-3,NO-ALTS,0,0,8765
R-3,RECORDS,3755482,161252,958409
R-3,OTHERS,0,0,4537
P-3,INDELS,271363,21465,553333
P-3,SNVS,3422048,135780,407969
P-3,NO-ALTS,0,0,7731
P-3,RECORDS,3693411,157245,973057
P-3,OTHERS,0,0,4024
O-3,INDELS,280078,21373,558090
O-3,SNVS,3437556,140194,377462
O-3,NO-ALTS,0,0,7859
O-3,RECORDS,3717634,161567,947427
O-3,OTHERS,0,0,4016
A-4,INDELS,221218,8981,704751
A-4,SNVS,3405823,84164,442330
A-4,NO-ALTS,0,0,10260
A-4,RECORDS,3627041,93145,1162742
A-4,OTHERS,0,0,5401
A-3,INDELS,213450,8466,722310
A-3,SNVS,3388389,79691,482875
A-3,NO-ALTS,0,0,10477
A-3,RECORDS,3601839,88157,1221237
A-3,OTHERS,0,0,5575
F-3,INDELS,218493,10378,702858
F-3,SNVS,3390434,96477,447456
F-3,NO-ALTS,0,0,10364
F-3,RECORDS,3608927,106855,1165993
F-3,OTHERS,0,0,5315
Q-3,INDELS,283980,22343,547463
Q-3,SNVS,3457651,144515,367286
Q-3,NO-ALTS,0,0,7694
Q-3,RECORDS,3741631,166858,926457
Q-3,OTHERS,0,0,4014
J-3,INDELS,281464,15366,656300
J-3,SNVS,3439631,107480,407864
J-3,NO-ALTS,0,0,10281
J-3,RECORDS,3721095,122846,1079953
J-3,OTHERS,0,0,5508
L-3,INDELS,289284,15463,660083
L-3,SNVS,3466519,102109,409048
L-3,NO-ALTS,0,0,10590
L-3,RECORDS,3755803,117572,1085365
L-3,OTHERS,0,0,5644
S-3,INDELS,282947,15795,594415
S-3,SNVS,3440800,120949,401836
S-3,NO-ALTS,0,0,9430
S-3,RECORDS,3723747,136744,1010639
S-3,OTHERS,0,0,4958
E-3,INDELS,192690,7547,805627
E-3,SNVS,3405791,78451,528460
E-3,NO-ALTS,0,0,11930
E-3,RECORDS,3598481,85998,1352139
E-3,OTHERS,0,0,6122
H-3,INDELS,159445,8661,892750
H-3,SNVS,3505092,94100,833825
H-3,NO-ALTS,0,0,13274
H-3,RECORDS,3664537,102761,1746753
H-3,OTHERS,0,0,6904
N-3,INDELS,282217,23065,543602
N-3,SNVS,3472778,145005,379248
N-3,NO-ALTS,0,0,7461
N-3,RECORDS,3754995,168070,934171
N-3,OTHERS,0,0,3860
