Sample ID,Variant,TP,FP,FN
M-3,INDELS,291,77,280
M-3,SNVS,9949,1145,1493
M-3,RECORDS,10240,1222,1773
R-3,INDELS,350,38,330
R-3,SNVS,10251,854,1577
R-3,RECORDS,10601,892,1907
P-3,INDELS,324,64,300
P-3,SNVS,9952,921,1705
P-3,RECORDS,10276,985,2005
O-3,INDELS,310,56,284
O-3,SNVS,10206,935,1699
O-3,RECORDS,10516,991,1983
A-4,INDELS,308,13,376
A-4,SNVS,10000,598,1494
A-4,RECORDS,10308,611,1870
A-3,INDELS,283,13,412
A-3,SNVS,9996,567,1622
A-3,RECORDS,10279,580,2034
F-3,INDELS,266,30,366
F-3,SNVS,9815,632,1680
F-3,RECORDS,10081,662,2046
Q-3,INDELS,310,80,299
Q-3,SNVS,10001,1086,1457
Q-3,RECORDS,10311,1166,1756
J-3,INDELS,340,34,313
J-3,SNVS,10285,778,1584
J-3,RECORDS,10625,812,1897
L-3,INDELS,331,32,340
L-3,SNVS,10085,736,1653
L-3,RECORDS,10416,768,1993
S-3,INDELS,311,21,329
S-3,SNVS,10211,689,1603
S-3,RECORDS,10522,710,1932
E-3,INDELS,196,16,470
E-3,SNVS,10144,550,1936
E-3,RECORDS,10340,566,2406
H-3,INDELS,197,10,537
H-3,SNVS,10447,659,2785
H-3,RECORDS,10644,669,3322
N-3,INDELS,329,68,304
N-3,SNVS,9976,953,1728
N-3,RECORDS,10305,1021,2032
