Sample ID,Variant,TP,FP,FN
R-3,INDELS,24,1,16
R-3,SNVS,387,4,34
R-3,RECORDS,411,5,50
M-3,INDELS,16,7,8
M-3,SNVS,346,13,19
M-3,RECORDS,362,20,27
P-3,INDELS,23,4,16
P-3,SNVS,374,6,34
P-3,RECORDS,397,10,50
O-3,INDELS,15,4,12
O-3,SNVS,400,8,30
O-3,RECORDS,415,12,42
A-4,INDELS,16,0,20
A-4,SNVS,362,1,20
A-4,RECORDS,378,1,40
A-3,INDELS,11,0,23
A-3,SNVS,367,0,17
A-3,RECORDS,378,0,40
F-3,INDELS,17,0,10
F-3,SNVS,362,7,16
F-3,RECORDS,379,7,26
Q-3,INDELS,18,8,12
Q-3,SNVS,372,5,23
Q-3,RECORDS,390,13,35
J-3,INDELS,19,1,20
J-3,SNVS,372,1,23
J-3,RECORDS,391,2,43
L-3,INDELS,16,0,22
L-3,SNVS,381,0,21
L-3,RECORDS,397,0,43
S-3,INDELS,17,1,15
S-3,SNVS,380,0,29
S-3,RECORDS,397,1,44
E-3,INDELS,14,0,19
E-3,SNVS,339,2,30
E-3,RECORDS,353,2,49
H-3,INDELS,13,0,24
H-3,SNVS,347,1,62
H-3,RECORDS,360,1,86
N-3,INDELS,17,5,11
N-3,SNVS,362,5,29
N-3,RECORDS,379,10,40
